code,start_date,end_date
sz.300374,2021-01-21,2021-03-11
sh.603908,2023-04-18,2023-06-02
sz.002513,2024-01-18,2024-03-08
sh.688139,2021-10-22,2021-12-03
sz.002416,2022-04-14,2022-05-31
sh.688603,2024-03-29,2024-05-17
sz.300812,2023-04-18,2023-06-02
sz.002811,2024-06-05,2024-07-18
sh.688787,2023-03-28,2023-05-15
sh.603218,2022-04-15,2022-06-01
sh.603269,2024-03-29,2024-05-17
sh.688719,2024-01-22,2024-03-12
sh.688029,2021-12-29,2022-02-17
sh.603568,2022-03-01,2022-04-14
sh.688793,2022-01-17,2022-03-07
sh.603739,2023-12-26,2024-02-07
sh.688526,2021-01-21,2021-03-11
sh.605577,2023-12-14,2024-01-26
sz.002133,2024-01-24,2024-03-14
sz.002803,2024-01-18,2024-03-08
sz.000826,2022-02-23,2022-04-08
sz.300545,2024-01-19,2024-03-11
sh.688228,2023-04-17,2023-06-01
sh.688670,2023-12-12,2024-01-24
sh.600559,2021-01-06,2021-02-24
sz.300712,2021-08-13,2021-09-28
sh.600351,2022-12-16,2023-02-06
sz.300159,2024-05-22,2024-07-04
sz.300429,2022-04-11,2022-05-26
sh.688187,2022-01-20,2022-03-10
sh.688199,2024-01-24,2024-03-14
sz.002425,2021-03-05,2021-04-19
sh.603017,2024-01-30,2024-03-20
sz.300157,2021-01-19,2021-03-09
sh.600071,2024-01-03,2024-02-22
sh.688667,2022-04-20,2022-06-07
sh.688590,2023-04-07,2023-05-24
sz.002055,2024-01-30,2024-03-20
sh.600487,2022-07-20,2022-08-31
sz.300378,2022-04-12,2022-05-27
sz.300118,2024-01-22,2024-03-12
sh.603843,2022-02-22,2022-04-07
sh.688090,2024-01-09,2024-02-28
sz.002918,2022-04-20,2022-06-07
sh.688326,2024-10-08,2024-11-19
sh.603985,2024-03-26,2024-05-14
sh.601702,2021-09-14,2021-11-04
sz.300049,2021-07-27,2021-09-07
sh.601985,2021-09-23,2021-11-11
sz.301555,2024-01-05,2024-02-26
sz.300334,2021-04-13,2021-05-28
sh.688128,2022-08-22,2022-10-11
sz.002162,2024-01-17,2024-03-07
sz.002514,2024-01-09,2024-02-28
sh.603083,2023-09-26,2023-11-15
sz.002402,2023-04-07,2023-05-24
sz.003031,2021-01-27,2021-03-17
sh.601012,2021-02-19,2021-04-02
sz.300684,2023-12-29,2024-02-20
sz.301252,2024-01-09,2024-02-28
sh.600223,2022-04-11,2022-05-26
sz.300876,2024-04-01,2024-05-20
sh.600117,2021-09-22,2021-11-10
sh.603379,2023-04-18,2023-06-02
sz.002150,2022-12-07,2023-01-19
sz.300824,2024-01-25,2024-03-15
sz.300927,2024-05-22,2024-07-04
sz.300885,2024-03-29,2024-05-17
sz.300795,2024-04-02,2024-05-21
sh.688776,2024-01-19,2024-03-11
sh.603866,2022-07-04,2022-08-15
sh.688041,2023-08-07,2023-09-18
sh.688671,2024-01-29,2024-03-19
sz.300353,2023-04-07,2023-05-24
sz.301050,2022-08-10,2022-09-22
sz.300107,2024-06-20,2024-08-01
sz.300922,2024-01-22,2024-03-12
sz.300421,2021-09-22,2021-11-10
sz.300999,2021-02-22,2021-04-06
sz.300068,2021-01-26,2021-03-16
sh.603993,2022-04-19,2022-06-06
sz.002670,2024-05-07,2024-06-19
sz.300253,2023-04-07,2023-05-24
sz.300198,2024-11-12,2024-12-24
sh.600809,2021-02-23,2021-04-07
sz.002136,2023-04-20,2023-06-06
sz.002420,2021-10-08,2021-11-19
sh.600210,2022-04-13,2022-05-30
sz.003042,2022-03-29,2022-05-17
sh.603716,2022-12-14,2023-02-02
sz.300328,2024-11-12,2024-12-24
sz.002896,2023-04-13,2023-05-30
sh.688175,2024-06-21,2024-08-02
sz.002897,2022-04-14,2022-05-31
sh.688143,2023-07-13,2023-08-24
sh.688701,2024-04-08,2024-05-23
sh.688186,2021-11-23,2022-01-05
sz.300263,2021-09-13,2021-11-03
sz.300795,2021-04-01,2021-05-20
sz.300488,2022-12-09,2023-01-30
sz.002602,2022-04-12,2022-05-27
sh.603197,2022-03-28,2022-05-16
sz.000952,2024-03-29,2024-05-17
sz.300762,2024-01-19,2024-03-11
sz.301004,2024-01-18,2024-03-08
sh.600818,2021-05-11,2021-06-23
sz.301236,2022-07-19,2022-08-30
sz.300291,2023-05-10,2023-06-21
sh.601001,2021-01-20,2021-03-10
sz.000595,2022-02-24,2022-04-11
sz.300508,2022-04-14,2022-05-31
sz.300069,2022-10-17,2022-11-28
sz.300869,2022-03-11,2022-04-26
sh.600053,2022-02-14,2022-03-28
sh.601519,2022-04-12,2022-05-27
sh.688711,2021-12-23,2022-02-11
sh.688426,2023-09-18,2023-11-07
sh.605138,2024-01-25,2024-03-15
sz.000923,2021-10-19,2021-11-30
sz.002528,2024-05-27,2024-07-09
sh.600156,2023-03-22,2023-05-09
sz.002203,2022-04-12,2022-05-27
sz.300289,2022-01-11,2022-03-01
sh.688338,2023-07-07,2023-08-18
sz.002037,2022-02-22,2022-04-07
sh.600857,2024-01-23,2024-03-13
sh.605577,2024-03-29,2024-05-17
sz.301206,2022-04-15,2022-06-01
sh.600559,2021-07-21,2021-09-01
sz.301152,2023-08-03,2023-09-14
sz.002073,2024-01-19,2024-03-11
sh.688158,2022-03-01,2022-04-14
sz.001296,2021-12-31,2022-02-21
sh.603039,2022-04-12,2022-05-30
sz.300967,2024-01-31,2024-03-21
sz.002632,2022-08-24,2022-10-13
sz.300992,2021-05-27,2021-07-09
sz.300921,2024-03-28,2024-05-16
sz.000025,2022-04-13,2022-05-30
sz.300836,2024-01-26,2024-03-18
sz.000572,2021-09-23,2021-11-11
sh.688311,2023-12-29,2024-02-20
sz.301079,2022-04-13,2022-05-30
sz.300891,2022-04-07,2022-05-24
sz.301041,2021-10-15,2021-11-26
sz.002913,2023-08-09,2023-09-20
sz.002112,2022-08-31,2022-10-20
sz.300320,2021-09-10,2021-11-02
sh.600381,2024-03-14,2024-04-29
sz.301388,2024-01-23,2024-03-13
sh.688788,2024-04-01,2024-05-20
sz.002873,2022-04-01,2022-05-20
sh.605388,2022-04-20,2022-06-07
sh.688566,2022-12-12,2023-01-31
sz.002641,2024-01-22,2024-03-12
sz.300554,2022-04-08,2022-05-25
sh.600176,2021-02-10,2021-03-31
sz.000605,2022-04-19,2022-06-06
