code,start_date,end_date
sh.601068,2022-03-03,2022-04-18
sz.300101,2024-01-24,2024-03-14
sz.000701,2024-01-03,2024-02-22
sz.002199,2024-04-08,2024-05-23
sz.300580,2022-01-17,2022-03-07
sz.002419,2021-04-12,2021-05-27
sh.600128,2023-12-11,2024-01-23
sz.003008,2024-01-26,2024-03-18
sh.603533,2024-03-21,2024-05-09
sh.600096,2021-12-16,2022-01-28
sz.000833,2022-01-11,2022-03-01
sh.600807,2024-04-02,2024-05-21
sz.000534,2024-03-29,2024-05-17
sz.300260,2022-12-09,2023-01-30
sz.002363,2022-04-18,2022-06-02
sz.300597,2022-04-06,2022-05-23
sz.300163,2024-05-16,2024-06-28
sz.300308,2021-02-26,2021-04-12
sz.000980,2022-12-20,2023-02-08
sh.688272,2021-12-10,2022-01-24
sz.300986,2024-05-22,2024-07-04
sz.000882,2024-06-07,2024-07-22
sz.002863,2024-01-19,2024-03-11
sh.603583,2022-02-25,2022-04-12
sh.600857,2021-06-29,2021-08-10
sz.001217,2022-09-08,2022-10-28
sh.688133,2024-01-23,2024-03-13
sz.002571,2021-04-21,2021-06-07
sh.603063,2022-03-24,2022-05-12
sz.300831,2021-04-28,2021-06-15
sz.300575,2021-09-14,2021-11-04
sz.300155,2024-01-26,2024-03-18
sz.300074,2022-04-12,2022-05-27
sh.603398,2022-08-18,2022-09-30
sz.000793,2024-05-24,2024-07-08
sz.002564,2022-08-19,2022-10-10
sz.300511,2024-06-11,2024-07-23
sh.688055,2022-04-18,2022-06-02
sh.600594,2024-05-23,2024-07-05
sh.688276,2022-04-06,2022-05-23
sz.002852,2022-04-26,2022-06-13
sh.601858,2023-08-29,2023-10-18
sz.000603,2023-04-26,2023-06-12
sz.301126,2024-01-25,2024-03-15
sz.300357,2021-02-22,2021-04-06
sh.603888,2023-05-11,2023-06-26
sh.600843,2024-01-23,2024-03-13
sz.301152,2022-09-16,2022-11-04
sz.301225,2023-08-14,2023-09-25
sh.688408,2021-12-16,2022-01-28
sh.600661,2021-07-13,2021-08-24
sh.603528,2024-04-03,2024-05-22
sz.301338,2024-01-29,2024-03-19
sz.003000,2021-04-21,2021-06-07
sh.603696,2022-09-01,2022-10-21
sz.301292,2024-09-05,2024-10-28
sz.300985,2022-04-08,2022-05-25
sh.688226,2023-02-24,2023-04-10
sh.601456,2022-03-31,2022-05-19
sz.002992,2024-01-23,2024-03-13
sh.688131,2022-09-05,2022-10-25
sh.603529,2022-08-22,2022-10-11
sz.002219,2021-07-21,2021-09-01
sz.002339,2022-08-23,2022-10-12
sz.002905,2022-09-15,2022-11-03
sh.688068,2021-04-28,2021-06-16
sz.300848,2024-01-24,2024-03-14
sz.002275,2021-01-22,2021-03-12
sz.002566,2024-01-17,2024-03-07
sh.603507,2022-12-07,2023-01-19
sz.300164,2024-01-24,2024-03-14
sh.603098,2024-04-03,2024-05-22
sh.600661,2024-03-12,2024-04-25
